"Item","Location","Sublocation","Quantity"
"Acer Aspire TC-1775 14th Gen  Core  i3-14100 DESKTOP","Default Location","","13.0000"
"ACER ASPIRE TC-705 / CORE I7 4790 / 8GB  / 1TB / 4GB VID/ 8X SMD / WIFI /USB KB MSE / WIN8.1S1 ","Default Location","","11.0000"
"ACER ASPIRE TC-710 INTEL CORE I5-6400/4GB/1TB/2GB GEFORCE GT 720/WIN 10 DESKTOP W/ 21.5IN MONITOR","Default Location","","2.0000"
"ACER ASPIRE TC-710 INTEL CORE I7-6700/8GB/1TB/4GB GTX 745/WIN 10 DESKTOP W/23IN MONITOR","Default Location","","1.0000"
"ACER BLUETOOTH KEYBOARD OS ","Default Location","","1.0000"
"Acer Cons NB AL15-41P-R51N NX.J53SP.001  Light Silver","Default Location","","3.0000"
"ACER DESKTOP","Default Location","","-1.0000"
"ACER DQ.BFTSP.002 / C24 1650 ALL IN ONE PC ","Default Location","","2.0000"
"ACER E5-473-37XV CORE I CHARCOAL GRAY","Default Location","","1.0000"
"ACER E5-473G-54L9 CORE I5BLACK GRAY","Default Location","","1.0000"
"ACER E5-475-35CL CORE I3","Default Location","","-1.0000"
"ACER E5-475-37MN STEEL GREY CORE I3","Default Location","","1.0000"
"ACER EB192QB 18.5","Default Location","","3.0000"
"ACER ICONIA TAB W3-810 27602G0NSW ATOM Z2760 M2GB/32GB/W8","Default Location","","-1.0000"
"ACER ICONIA TAB W510 32GB INTEL ATOM Z2760/W8","Default Location","","1.0000"
"ACER ICONIA TAB W510 KEYBOARD DOCK WITH BATTERY","Default Location","","1.0000"
"ACER INTEGRATIVE LASER PRESENTER","Default Location","","3.0000"
"ACER K135 500 ANSI LUMENS PROJECTOR","Default Location","","1.0000"
"ACER KA220HQBD 21.5 IN LED MONITOR","Default Location","","1.0000"
"ACER KA242Y 23.8 GAMING MONITOR","Default Location","","-1.0000"
"ACER KA242Y GAMING MONITOR W/ SPKR","Default Location","","1.0000"
"ACER KA272 27"" LED MONITOR","Default Location","","1.0000"
"ACER LAPTOP ADAPTOR 18.5V","Default Location","","2.0000"
"ACER MICRO HDMI CABLE AC121 BLACK","Default Location","","1.0000"
"ACER MONITOR","Default Location","","19.0000"
"ACER MONITOR 18.5""","Default Location","","-1.0000"
"ACER NX.V9VSP.031 TMP246-M-3525","Default Location","","1.0000"
"ACER ONE I4 Z1401-C7J6 NOTEBOOK","Default Location","","-1.0000"
"ACER ONE I4 Z1401-C9IN INTEL CELERON NOTEBOOK","Default Location","","1.0000"
"ACER P1287 4200 LUMENS PROJECTOR","Default Location","","1.0000"
"ACER P166HQL LED BLK NO SPEAKER 15.5""","Default Location","","10.0000"
"ACER PRESENTATION LASER POINTER","Default Location","","-1.0000"
"ACER S200HQL LED MONITOR 19.5""","Default Location","","2.0000"
"ACER SERVER AT110F2 INTEL XEON QUAD CORE E3-1220","Default Location","","1.0000"
"ACER SERVER AT110F3 INTEL XEON QUADCORE E3-1220 V3","Default Location","","3.0000"
"ACER SERVER AT310F3 XEON 1230V3 8GB ODD 500W 8MB CACHE","Default Location","","1.0000"
"ACER SUPER CARE PLUS","Default Location","","11.0000"
"ACER SWIFT 3 F314-54-33C7 ","Default Location","","-1.0000"
"ACER SWITCH 10E NOTEBOOK PINK","Default Location","","1.0000"
"ACER TM NX V7BSP 021","Default Location","","1.0000"
"ACER TMB113-M-53312G50AKK LINPUS","Default Location","","1.0000"
"ACER TMB115-M-C1YD","Default Location","","2.0000"
"ACER TMB115-M-CNJ LINPUS ","Default Location","","1.0000"
"ACER TMP243-MG-53212G75MTKK LINPUS","Default Location","","1.0000"
"ACER TMP246-MG-50HL LAPTOP","Default Location","","2.0000"
"ACER TMP249-G2-M-30AL","Default Location","","1.0000"
"ACER TMP249-G2-M53AJ 14IN NOTEBOOK","Default Location","","1.0000"
"ACER TMP249-G3-M-38PF NOTEBOOK","Default Location","","2.0000"
"ACER TMP249-G3-M-39H4","Default Location","","1.0000"
"ACER TMP259-MG-71KB","Default Location","","1.0000"
"ACER TRAVELMATE P2410-G2-M-51NF","Default Location","","2.0000"
"ACER TRAVELMATE TMB113-M-53312G50AKK","Default Location","","-1.0000"
"ACER TRAVELMATE TMP243-MG-53212G75MTKK LINP","Default Location","","-2.0000"
"ACER V226HOLBQBD 21.5"" LED MONITOR W/ VGA/DVI","Default Location","","11.0000"
"ACER VERITON X2640G DESKTOP ","Default Location","","3.0000"
"ACER VERITON X2660G","Default Location","","3.0000"
"ACER VERITON X4640G INTEL CORE I3-6100","Default Location","","21.0000"
"ACER X1223HP PROJECTOR","Default Location","","2.0000"
"ACER Z3 615 AIO TOUCH BLACK CORE I5-4570","Default Location","","-1.0000"
"ACRYLIC PAINT DAYLIGHT","Default Location","","1.0000"
"ACS ACR1281U-C1","Default Location","","5.0000"
"ADAPTER 12V 1 AMP","Default Location","","10.0000"
"ADAPTOR 12V  2AMP","Default Location","","-5.0000"
"ADAPTOR 5V 2A","Default Location","","1.0000"
"ADAPTOR 5V 3A","Default Location","","-1.0000"
"ADAPTOR MALE","Default Location","","9.0000"
"ADAPTOR NOTEBOOK UNIVERSAL","Default Location","","1.0000"
"ADAPTOR PLUG 2 PRONG","Default Location","","11.0000"
"ADATA 512GB SSD M.2","Default Location","","1.0000"
"ADATA 8GB DDR4 2666 DIMM MEMORY","Default Location","","2.0000"
"ADATA 8GB DDR4-3200 AD4U3200GG22 MEMORY","Default Location","","-1.0000"
"ADATA AX4U240038G16-SRZ CL-16-16-16 8GB 2400 DIMM RED","Default Location","","4.0000"
"ADATA SU650 240GB 3D NAND SSD","Default Location","","-1.0000"
"ADLINK CAT6 UTP CABLE OUTDOOR","Default Location","","1.0000"
"ADLINK OUTDOOR UTP CABLE","Default Location","","5.0000"
"ADT JOTMINI STYLUS GREEN","Default Location","","1.0000"
"ADT JOTMINI STYLUS PINK","Default Location","","1.0000"
"ADVANCE A4 BONDPAPER","Default Location","","10.0000"
"ADVANCE RECORD BOOK 500 PAGES HARDBOUND","Default Location","","-15.0000"
"ADVANCE SAFETY HASPS 2"" W/ SCREW","Default Location","","12.0000"
"AERO COOL RAVE 600WATTS PSU","Default Location","","3.0000"
"AERO COOL RAVE 800WATTS PSU","Default Location","","1.0000"
"AI1 MAINTENANCE SUBSCRIPTION FEE","Default Location","","-1.0000"
"AIPTEK 3 IN 1 PEN CAMERA","Default Location","","1.0000"
"AIR FRESHENER (AEROSOL) SPRAY","Default Location","","-20.0000"
"AIR MAX SECTOR WIRELESS ANTENNA AM-5619","Default Location","","1.0000"
"AIRCON CLEANING SERVICE","Default Location","","1.0000"
"AIRCON OUTLET","Default Location","","1.0000"
"AIRMAX AC BASE STATION R5AC-PRISM","Default Location","","4.0000"
"AIRMAX BASE STATION SECTION ANTENNA","Default Location","","4.0000"
"AITC SSD 256GB 2.5 SATA","Default Location","","1.0000"
"AKARI DUO LED BULB DL 15W","Default Location","","1.0000"
"ALBATROS TOILET DEODORANT STRAWBERRY 50GRMS ","Default Location","","100.0000"
"ALBATROS TOILET DEODORANT W/ HANDLE STRAWBERRY 50GRMS ","Default Location","","6.0000"
"ALCOHOL CASINO ACTIVE 250ML","Default Location","","9.0000"
"ALCOHOL CASINO FEMME 250ML","Default Location","","17.0000"
"ALCOHOL CASINO FEMME 500ML","Default Location","","200.0000"
"ALCOHOL CASINO FEMME DUAL MIST 250ML","Default Location","","10.0000"
"ALCOHOL DOCTOR","Default Location","","4.0000"
"ALMOND CANDY 3K/PK","Default Location","","325.0000"
"ALUMINUM BOX","Default Location","","1.0000"
"ALUMINUM FLEXIBLE HOSE 1/2""","Default Location","","2.0000"
"ALUMINUM PIE PAN 9""","Default Location","","10.0000"
"ALUMINUM POUCH AZM-130","Default Location","","100.0000"
"ALUMINUM POUCH HCMZ -100","Default Location","","5700.0000"
"ALUMINUM POUCH HZM-130","Default Location","","32.0000"
"ALUMINUM ROUND TUBING 1/2""","Default Location","","1.0000"
"ALUMINUM WARE","Default Location","","5.0000"
"AMBIPURE AIR FRESHENER","Default Location","","2.0000"
"AMD RYZEN 3 1200 AM4 3.16HZ 65W PROCESSOR","Default Location","","1.0000"
"AMD RYZEN 3 3200G AM4 3.60GHZ 65M PROCESSOR","Default Location","","-1.0000"
"AMO-5G13 5GHZ 2X2 DUAL POLARITY MIMO OMNI ANTENNA 13DBI","Default Location","","1.0000"
"AMP CAT5E PATCH CORD 10FT/3MTR RED","Default Location","","116.0000"
"AMP CAT5E PATCH CORD 4FT/1MTR RED","Default Location","","116.0000"
"AMP LC-LC PATCH CORD","Default Location","","9.0000"
"AMP RJ-45 CAT5E CONNECTOR","Default Location","","593.0000"
"AMP RJ-45 CAT6 CONNECTOR","Default Location","","100.0000"
"ANCHOR BOLT 1/2","Default Location","","16.0000"
"ANCHOR BOLT 5/16","Default Location","","3.0000"
"ANCHOR GRIP 1/4","Default Location","","40.0000"
"ANCHOR GRIP 5/16","Default Location","","20.0000"
"ANDROID SMART TV DONGLE A10 4GB","Default Location","","1.0000"
"ANGLE BAR","Default Location","","2.0000"
"ANGLE BAR 1 X 1 X 1/8"" 2.5MM","Default Location","","3.0000"
"ANGLE BAR 1/8 X 1 x 1 x 6mtrs","Default Location","","5.0000"
"ANGLE BAR 1-1/2 X 1/8","Default Location","","12.0000"
"ANGLE BAR 1-1/2"" X 1/8 ","Default Location","","11.0000"
"ANGLE BAR 1-1/2"" X 1-1/2"" X 14"" 6MM","Default Location","","9.0000"
"ANGLE BAR SLOTTED","Default Location","","3.0000"
"ANGLE SPORTS HIDDEN CAMERA SUNGLASSES 720-P WITH 170 DEGREE WIDE ANGLE BLACK","Default Location","","1.0000"
"ANVIZ 10605030 FACEDEEP 3 BIOMETRIC DEVICE WITH FACIAL REGOCNITION","Default Location","","10.0000"
"ANVIZ DOOR LOCK ATTACHMENT","Default Location","","1.0000"
"ANVIZ EP300 BIO OFFICE","Default Location","","8.0000"
"ANVIZ EP300 PRO BIOMETRIC READER","Default Location","","1.0000"
"ANVIZ T5 PRO BIOMETRIC READER WITH DOOR ACCESS","Default Location","","1.0000"
"ANZAHL BLACK COLOR + CATALYST JET BLACK","Default Location","","2.0000"
"ANZAHL TOP COAT + CATALYST","Default Location","","3.0000"
"ANZAHL URETHANE PAINT THINNER","Default Location","","4.0000"
"ANZAHL WHITE COLOR + CATALYST","Default Location","","1.0000"
"ANZHAL GRASS GREEN COLOR + CATALYST CYNIS GREEN","Default Location","","2.0000"
"ANZHAL URETHANE AUTOMOTIVE PRIMER SURFACE GREEN CATALYST","Default Location","","7.0000"
"AOC 771S CRT","Default Location","","9.0000"
"AOC E1620SWB 15.6","Default Location","","-1.0000"
"AOC E1621SWB","Default Location","","1.0000"
"AOC E1670SWU WIDE LED MONITOR 16","Default Location","","3.0000"
"AOC E2070SWN/SWNE 19.5 LED  MONITOR","Default Location","","1.0000"
"AOC E2236VW 21.5","Default Location","","2.0000"
"AOC E2270SWHN 21.5""  TN PANEL, VGA & DVI, 5MS, with HDMI","Default Location","","2.0000"
"AOC E2470SWH/71 23.6"" MONITOR","Default Location","","2.0000"
"AOC E970SWN 18.5 LED ","Default Location","","8.0000"
"AOC E970SWNL LED MONITOR 18.5"" BLACK","Default Location","","4.0000"
"AOPEN LED MONITOR 18.5""","Default Location","","-1.0000"
"APC 650VA UPS","Default Location","","-1.0000"
"APC BX-1400U-MS","Default Location","","1.0000"
"APC BX-625CI/MS 625VA WITH AVR","Default Location","","6.0000"
"APC BX-650LI/MS UPS","Default Location","","2.0000"
"APC BX650LI-MS 650VA UPS","Default Location","","2.0000"
"A-PLUS A-W SUMMER APALACE 4L","Default Location","","1.0000"
"A-PLUS METAL PRIMER RED OXIDE 1L","Default Location","","2.0000"
"APOLLO 29600-458 BASE MOUNTED FLAME DETECTOR BRACKET","Default Location","","7.0000"
"APOLLO 45681-200APO SERIES 65 STANDARD BASE","Default Location","","33.0000"
"APOLLO 45681-200USA SERIES 65 STANDARD BASE","Default Location","","82.0000"
"APOLLO 55000-025APO SERIES 65 BASE MOUNTED UV FLAME DETECTOR ","Default Location","","7.0000"
"APOLLO 55000-126APO SERIES 65 HEAT DETECTOR STANDARD","Default Location","","4.0000"
"APOLLO 55000-139 SERIES 65A 135 DEGREES HEAT DETECTOR FLASHING LED W/OUT BASE","Default Location","","11.0000"
"APOLLO 55000-316APO SERIES 65 OPTICAL SMOKE DETECTOR WITH FLASHING RED","Default Location","","29.0000"
"APOLLO 55000-327 SERIES 65A PHOTO-ELECTRIC SMOKE DETECTOR STANDARD W/OUT BASE","Default Location","","80.0000"
"APOLLO 55100-001APO INDOOR MANUAL CALL POINT WITHOUT LED- RED ","Default Location","","6.0000"
"APOLLO D-115/154L DEMCO SOUNDER AND STROBE LIGHT COMBINED","Default Location","","12.0000"
"APOLLO D-128 RESETTABLE CALL POINT (RED)","Default Location","","6.0000"
"APOLLO K11040M2 SIGMA CP-4 ZONE CONVENTIONAL FIRE ALARM CONTROL PANEL","Default Location","","2.0000"
"APOLLO K1844-11 SIGMA A-CP-4 ZONE CONVENTIONAL FIRE PANEL RED 230V","Default Location","","1.0000"
"APPLE IPAD 3 4G 64GB BLACK","Default Location","","1.0000"
"APPLE IPAD CRYSTAL CASE","Default Location","","2.0000"
"APPLE IPAD MINI BLK 16G WIFI ","Default Location","","1.0000"
"APPLE IPAD MINI ROTATE CASE","Default Location","","1.0000"
"APPLE IPAD MINI WHITE 16G WIFI ","Default Location","","-1.0000"
"APPLE IPAD MINI WHITE 16GB 4G","Default Location","","1.0000"
"APPLE IPAD MINI WHITE 64G WIFI","Default Location","","1.0000"
"APPLE IPHONE 4S 16GB WHITE","Default Location","","2.0000"
"APPLE IPHONE 5C GREEN 16GB","Default Location","","1.0000"
"APPLE IPHONE 7 PLUS 128GB JET BLACK CELLPHONE","Default Location","","13.0000"
"APPLE IPHONE 7 PLUS 256GB RED CELLPHONE","Default Location","","1.0000"
"APPLE IPHONE5 USB & POWER ADAPTOR","Default Location","","3.0000"
"APPLE IPHONE7 128GB JET BLK SMARTPHONE","Default Location","","3.0000"
"APPLE IPHONE7 PLUS 128GB JET BLK SMARTPHONE","Default Location","","4.0000"
"APPLE NEW IPAD CASE APPLE GREEN","Default Location","","1.0000"
"APPLE NEW IPAD CASE BLACK","Default Location","","1.0000"
"APPLE NEW IPAD CASE OLD ROSE","Default Location","","1.0000"
"APPLE NEW IPAD CASE RUBBER APPLE GREEN","Default Location","","1.0000"
"APPLE NEW IPAD CASE RUBBER BLACK","Default Location","","1.0000"
"APPLE NEW IPAD CASE RUBBER GRAY","Default Location","","1.0000"
"APRIOLE AVR 1000 WATTS","Default Location","","1.0000"
"ARCH FILE LONG 3""","Default Location","","8.0000"
"ARMAK ALUMINUM FOIL 12X300","Default Location","","60.0000"
"ARMAK BAG SEALER","Default Location","","1.0000"
"ARMAK BAG SEALING TAPE BLUE","Default Location","","10.0000"
"ARMAK BAG SEALING TAPE GREEN","Default Location","","17.0000"
"ARMAK BAG SEALING TAPE ORANGE","Default Location","","16.0000"
"ARMAK BAG SEALING TAPE RED","Default Location","","16.0000"
"ARMAK BAG SEALING TAPE YELLOW","Default Location","","6.0000"
"ARMAK ELECTRICAL TAPE","Default Location","","544.0000"
"ARMAK ELECTRICAL TAPE SMALL","Default Location","","3.0000"
"ARMAK MASKING TAPE 3/4""","Default Location","","6.0000"
"ARMAK PACKAGING TAPE 2 X 100 CLEAR","Default Location","","4.0000"
"ARMAK PACKAGING TAPE 2 X 100 TAN","Default Location","","4.0000"
"ARMAK STATIONERY TAPE 3/4 X 50 YRDS","Default Location","","6.0000"
"ARMAK STRETCH FILM","Default Location","","-3.0000"
"ARSENAL 2366A CASING (BLACK)","Default Location","","11.0000"
"ARTLINE PERMANENT MARKER FINE GREEN","Default Location","","1.0000"
"ARTLINE PERMANENT MARKER FINE ORANGE","Default Location","","1.0000"
"ARTLINE WHITEBOARD MARKER 500 BLK","Default Location","","36.0000"
"ARTLINE WHITEBOARD MARKER 500 BLUE","Default Location","","1.0000"
"ARTLINE WHITEBOARD MARKER 500 RED","Default Location","","1.0000"
"ARTLINE WHITEBOARD MARKER INK BLK","Default Location","","38.0000"
"ARTLINE WHITEBOARD MARKER INK BLUE","Default Location","","3.0000"
"ARTLINE WHITEBOARD MARKER INK RED","Default Location","","3.0000"
"ARUBA 2530 HPEJ9782A-L1 24 PORT NETWORK SWITCH","Default Location","","1.0000"
"ASAHI INDUSTRIAL FAN 18'","Default Location","","1.0000"
"ASPIRE","Default Location","","-2.0000"
"ASPIRE TC-710","Default Location","","-4.0000"
"ASUS DRW-24FIST 24X BLACK INTERNAL DVD WRITER","Default Location","","1.0000"
"ASUS GTX1650-04GD6-P-V2 DUAL OC 4GB ","Default Location","","1.0000"
"ASUS P5G41T LX3 MOTHERBOARD","Default Location","","1.0000"
"ASUS P8H61-M LX3","Default Location","","6.0000"
"ASUS P8H67-V","Default Location","","-1.0000"
"ASUS PRIME H610M MOTHERBOARD","Default Location","","2.0000"
"ASUS PRIME H610M-K S-1700 MOTHER BOARD (VGA WITH HDMI PORT)","Default Location","","1.0000"
"ASUS PRIME H610M-R S-1700 MOTHER BOARD","Default Location","","1.0000"
"ASUS RT-AC1200G DUAL BAND ROUTER","Default Location","","1.0000"
"ASUS RT-N12+ WIRELESS 300MBPS ROUTER","Default Location","","6.0000"
"ASUS S16 M5606WA-MX009WSM VIVOBOOK LAPTOP","Default Location","","1.0000"
"ASUS VP247H GAMING MONITOR ","Default Location","","2.0000"
"ASUS X415MA-BV049T NOTEBOOK","Default Location","","1.0000"
"ASUS XEN POWER 10050MAH ABTIJ005 W/ BUMPER WW 20 IN 1 BLUE","Default Location","","1.0000"
"ASUS ZENFONE 2 SELFIE Z00UD-2B3S4WW WHITE SMART PHONE","Default Location","","1.0000"
"ASUS ZENFONE 3 MAX X008D-4GI 06WW(XC520TL) GOLD 32GB ANDROID CELLPHONE","Default Location","","2.0000"
"ASUS ZENFONE MAX BLACK","Default Location","","1.0000"
"ATIC ST100 256GB SSD 2.5","Default Location","","-1.0000"
"ATLANTA PVC SAFTI WIRE MOULDING 1""","Default Location","","6.0000"
"ATLANTA PVC SAFTI WIRE MOULDING 3/4""","Default Location","","20.0000"
"ATLANTA SQUARE MOULDING 1-1/2"" ","Default Location","","1.0000"
"AUDIO CABLE","Default Location","","1.0000"
"AUDIO CONFERENCE SYSTEM PACKAGE","Default Location","","-1.0000"
"AUSTRALIAN BEEF RIB EYE","Default Location","","1.0000"
"AUTOMOTIVE WIRE 8"" CAW-8 SRP-HHZXZZ","Default Location","","20.0000"
"AVR 1000W","Default Location","","1.0000"
"AVR 300W","Default Location","","1.0000"
"AVR FOR PHOTOCOPIER RELATED VOLTAGE: 220-240V, CURRENT:10AMP","Default Location","","-2.0000"
"AVR SECURE 500W","Default Location","","1.0000"
"AVR ULTRA 500W","Default Location","","1.0000"
"AWEI C-920 2 USB CHARGER","Default Location","","2.0000"
"AXE GOLD","Default Location","","2.0000"
"AXE RED TAIL HANDLE","Default Location","","2.0000"
"AXE REGULAR","Default Location","","2.0000"
"AXPERT 3KVA DUO 24 UPS","Default Location","","1.0000"
"AXPERT MKS 3K-24 POWER INVERT","Default Location","","1.0000"
"BABY ROLLER 4""","Default Location","","8.0000"
"BACK TOOL SL SERIES","Default Location","","1.0000"
"BACK UP BATTERY 12V 7AH ","Default Location","","4.0000"
"BADMINTON RACKET","Default Location","","1.0000"
"BALL INSULATOR BIG","Default Location","","6.0000"
"BALL VALVE 1/2","Default Location","","1.0000"
"BALLANTINES MICROPHONE","Default Location","","1.0000"
"BANGUS BONELESS","Default Location","","-4.0000"
"BASKETBALL RING","Default Location","","2.0000"
"BASKETBALL VOIT OFFICIAL","Default Location","","1.0000"
"BASKETBALL VOIT ORDINARY","Default Location","","3.0000"
"BATHROOM SCALE BR 2017","Default Location","","3.0000"
"BATTERY 12V 2P","Default Location","","2.0000"
"BATTERY 12V 9A","Default Location","","10.0000"
"BATTERY 2A","Default Location","","1.0000"
"BATTERY 7.2AH 12V FOR APC","Default Location","","4.0000"
"BATTERY CABLE","Default Location","","2.0000"
"BATTERY CABLE 1.2M SET","Default Location","","-5.0000"
"BATTERY ENERGIZER MAX  AA","Default Location","","4.0000"
"BATTERY FOR ACER ASPIRE ONE D255E ACD255","Default Location","","1.0000"
"BATTERY FOR APC","Default Location","","-2.0000"
"BATTERY FOR BIO N01-A","Default Location","","1.0000"
"BATTERY N550 GOLD L","Default Location","","1.0000"
"BATTERY NS60 ENDURO","Default Location","","1.0000"
"BATTERY PANASONIC 7.2AH 12V","Default Location","","3.0000"
"BATTERY SIZE AA","Default Location","","34.0000"
"BATTERY SIZE D","Default Location","","8.0000"
"BATTERY SUPPLY FOR APC 12V 9AH","Default Location","","2.0000"
"BATTERY TERMINAL HD","Default Location","","2.0000"
"BATTERY TERMINAL LD","Default Location","","2.0000"
"BAYGON INSECT KILLER 175ML","Default Location","","2.0000"
"BAYGON INSECT KILLER 300ML","Default Location","","11.0000"
"BAYGON MOSQUITO KILLER 300ML","Default Location","","20.0000"
"BAYGON PROTECTOR INSECT KILLER 300ML","Default Location","","12.0000"
"BB STERIO PLUG PLASTIC","Default Location","","5.0000"
"BB STERIO SPLITTER ADAPTOR","Default Location","","1.0000"
"BEANCURD ROLL","Default Location","","4.0000"
"BEEF BALL","Default Location","","5.0000"
"BEEF SIOMAI","Default Location","","7.0000"
