"DefaultValue","CustomValue"
"Add attachment files to this Sales Order.","Add attachment files to this Sales Order."
"Add attachment files to this vendor.","Add attachment files to this vendor."
"Add attachment files to this work order.","Add attachment files to this work order."
"Add Attachments  (Ctrl+M)","Add Attachments  (Ctrl+M)"
"Add by &Location","Add by &Location"
"Add by Location","Add by Location"
"Add Custom Fields","Add Custom Fields"
"Add it to the existing inventory levels","Add it to the existing inventory levels"
"Add Items By...","Add Items By..."
"Add multiple products to have their prices adjusted","Add multiple products to have their prices adjusted"
"Add New Address","Add New Address"
"Add new Pricing / Currency","Add new Pricing / Currency"
"Add new Pricing Scheme","Add new Pricing Scheme"
"ADD NEW:","ADD NEW:"
"Add New\r\nCustom Doc","Add New\r\nCustom Doc"
"Add or remove the suggested product tax codes to and from your own company's list of product tax codes.","Add or remove the suggested product tax codes to and from your own company's list of product tax codes."
"Add or remove the suggested taxing schemes to and from your own company's list of taxing schemes.","Add or remove the suggested taxing schemes to and from your own company's list of taxing schemes."
"Add Products Suggested","Add Products Suggested"
"Add Products, Method:","Add Products, Method:"
"add shipping","add shipping"
"Add Stickies","Add Stickies"
"Add Sticky","Add Sticky"
"Add Sticky Notes  (Ctrl+K)","Add Sticky Notes  (Ctrl+K)"
"Add sticky notes for this count sheet.","Add sticky notes for this count sheet."
"Add sticky notes for this purchase order.","Add sticky notes for this purchase order."
"Add sticky notes for this sales order.","Add sticky notes for this sales order."
"Add sticky notes for this work order.","Add sticky notes for this work order."
"Add to My Reports","Add to My Reports"
"Adding firewall exceptions...","Adding firewall exceptions..."
"Adding lines by location","Adding lines by location"
"Adding lines by Product","Adding lines by Product"
"Additional Address","Additional Address"
"Additional Address 99","Additional Address 99"
"Address","Address"
"Address Line 1","Address Line 1"
"Address Line 2","Address Line 2"
"Address Name","Address Name"
"Address Remarks","Address Remarks"
"Address Type","Address Type"
"Address)","Address)"
"Address1","Address1"
"Address2","Address2"
"Addresses","Addresses"
"Adjust inFlow's inventory records to correct for differences found during the counting process.","Adjust inFlow's inventory records to correct for differences found during the counting process."
"Adjust Stock","Adjust Stock"
"Adjust the stock quantities, possibly to correct previous errors.","Adjust the stock quantities, possibly to correct previous errors."
"Adjustment Type","Adjustment Type"
"Administrator","Administrator"
"Administrator cannot be removed.","Administrator cannot be removed."
"Adobe PDF (*.pdf)|*.pdf|Microsoft Excel (*.xls)|*.xls|Microsoft Excel Data Only (","Adobe PDF (*.pdf)|*.pdf|Microsoft Excel (*.xls)|*.xls|Microsoft Excel Data Only ("
"Advanced","Advanced"
"After Quantity","After Quantity"
"Align Center","Align Center"
"Align Left","Align Left"
"Align Right","Align Right"
"All","All"
"all 26 business reports","all 26 business reports"
"All of your data will be stored on this computer. This computer should always be powered on.","All of your data will be stored on this computer. This computer should always be powered on."
"all other features can have unlimited data, such as Sales Orders, Purchase Order, inventory level, locations, etc.","all other features can have unlimited data, such as Sales Orders, Purchase Order, inventory level, locations, etc."
"All Products","All Products"
"All products are unstocked!","All products are unstocked!"
"All products have been restocked!","All products have been restocked!"
"All products in the Purchase Order have been received!","All products in the Purchase Order have been received!"
"All Reorder Quantities are set to 0, so there's nothing to reorder.","All Reorder Quantities are set to 0, so there's nothing to reorder."
"Allow Archon Systems to collect anonymous information for future improvement.","Allow Archon Systems to collect anonymous information for future improvement."
"Allow Archon Systems to collect anonymous usage statistics.  This will allow us to focus on improving inFlow features that you use most, without personally identifying you.","Allow Archon Systems to collect anonymous usage statistics.  This will allow us to focus on improving inFlow features that you use most, without personally identifying you."
"Allow Negative Inventory :","Allow Negative Inventory :"
"Also check for beta (pre-release) updates","Also check for beta (pre-release) updates"
"Also include customers who are no longer active (deactivated).","Also include customers who are no longer active (deactivated)."
"Also suggest Out-of-Stock products","Also suggest Out-of-Stock products"
"Also try beta versions","Also try beta versions"
"Always","Always"
"Always do this","Always do this"
"Always Save","Always Save"
"Always save this information back to the customer or product record without asking me.","Always save this information back to the customer or product record without asking me."
"Always save this information back to the customer or product record without asking.","Always save this information back to the customer or product record without asking."
"Always save this information back to the vendor or product record without asking me.","Always save this information back to the vendor or product record without asking me."
"Always Skip","Always Skip"
"America","America"
"American Express","American Express"
"Amount","Amount"
"Amount Paid","Amount Paid"
"An amount to adjust the price by or to","An amount to adjust the price by or to"
"An error occured while trying to request a trial license key.","An error occured while trying to request a trial license key."
"and get a Trial Key back","and get a Trial Key back"
"and get an Activation Key back","and get an Activation Key back"
"and is ready to be used.  Enjoy!","and is ready to be used.  Enjoy!"
"Another user has already deleted this article thread","Another user has already deleted this article thread"
"Another user has created a document number or modified their format.  Please try your changes again.","Another user has created a document number or modified their format.  Please try your changes again."
"Another user has made changes to the category structure, so your operation could not be completed.  Please try again.","Another user has made changes to the category structure, so your operation could not be completed.  Please try again."
"Answer a few simple questions and inFlow will set you up!","Answer a few simple questions and inFlow will set you up!"
"Answered","Answered"
"Any additional comments related to the customer here.","Any additional comments related to the customer here."
"Any additional comments related to this vendor here.","Any additional comments related to this vendor here."
"Any misc comments within this box related to the product.","Any misc comments within this box related to the product."
"Any remarks for the order.  These will be printed on the Sales Order document.","Any remarks for the order.  These will be printed on the Sales Order document."
"Any remarks for the order.  This will be printed on the Purchase Order document.","Any remarks for the order.  This will be printed on the Purchase Order document."
"Ask","Ask"
"Ask me each time whether to save this information back to the customer or product record.","Ask me each time whether to save this information back to the customer or product record."
"Ask me each time whether to save this information back to the vendor or product record.","Ask me each time whether to save this information back to the vendor or product record."
"Assembled By","Assembled By"
"Assign a title to this report, or leave it blank to use the default title.","Assign a title to this report, or leave it blank to use the default title."
"Assign an additional description to this report, or leave it blank.","Assign an additional description to this report, or leave it blank."
"Attach a product picture here.  This will help you in making sure you have the right product selected when entering orders later.","Attach a product picture here.  This will help you in making sure you have the right product selected when entering orders later."
"Attachment","Attachment"
"Attachments","Attachments"
"Australia","Australia"
"Austria","Austria"
"Auto Backup","Auto Backup"
"Auto Backup Every X Days :","Auto Backup Every X Days :"
"Auto Backup Settings","Auto Backup Settings"
"Auto Invoice","Auto Invoice"
"Autosaved Report Settings are Invalid","Autosaved Report Settings are Invalid"
"Available","Available"
"Available Products","Available Products"
"Averaging Period (Days)","Averaging Period (Days)"
"Back Order by \r\nCustomer","Back Order by \r\nCustomer"
"Back Order by Customer","Back Order by Customer"
"Back Order Report","Back Order Report"
"BACK ORDER REPORT","BACK ORDER REPORT"
"Background Colour","Background Colour"
"Backing up your current database...","Backing up your current database..."
"Backup","Backup"
"Backup and Update Database Now!","Backup and Update Database Now!"
"Backup created","Backup created"
"Backup Data","Backup Data"
"Backup every","Backup every"
"Backup Now","Backup Now"
"Balance","Balance"
"balance at least {0}","balance at least {0}"
"balance between {0} and {1}","balance between {0} and {1}"
"Balance Due","Balance Due"
"Balance From","Balance From"
"Balance To","Balance To"
"Balance:","Balance:"
"Barcode","Barcode"
"Base Price","Base Price"
"Base Unit Cost","Base Unit Cost"
"Basic","Basic"
"Basic information about this customer.","Basic information about this customer."
"Basic information about this vendor.","Basic information about this vendor."
"Basic training so you can be an inFlow master!","Basic training so you can be an inFlow master!"
"Before Quantity","Before Quantity"
"Belgium","Belgium"
"Below Reorder Point","Below Reorder Point"
"below:","below:"
"Better tools = Better work done.  Invest into your business by <a action=""605"" tab=""100"">upgrading inFlow</a> now!","Better tools = Better work done.  Invest into your business by <a action=""605"" tab=""100"">upgrading inFlow</a> now!"
"Bill of Materials","Bill of Materials"
"Bill of Materials && Work Order","Bill of Materials && Work Order"
"bill of materials && work orders","bill of materials && work orders"
"Billing Address","Customer"
"Billing Address (Optional)","Billing Address (Optional)"
"Bold","Bold"
"Bottom","Bottom"
"BOTTOM","BOTTOM"
"Box","Box"
"Box #","Box #"
"Box Content List","Box Content List"
"Box Content Lists","Box Content Lists"
"Box Label","Box Label"
"Box Number","Box Number"
"Box Numbers","Box Numbers"
"Box Outer Label","Box Outer Label"
"Box/Pallet number cannot be the same as another box/pallet number that has already been shipped out.","Box/Pallet number cannot be the same as another box/pallet number that has already been shipped out."
"Box/Pallet number cannot contain commas or white spaces.","Box/Pallet number cannot contain commas or white spaces."
"BoxContentList","BoxContentList"
"Boxes","Boxes"
"BoxLabel","BoxLabel"
"Brazil","Brazil"
"Britain","Britain"
"Browse","Browse"
"Business Address","Business Address"
"Buy more stock from your vendors.","Buy more stock from your vendors."
"by","by"
"C&lear Logo","C&lear Logo"
"C&lose","C&lose"
"C&ountries","C&ountries"
"Ca&ncel Order","Ca&ncel Order"
"Calculate Secondary Tax on Primary","Calculate Secondary Tax on Primary"
"Can only do inventory transactions on Stocked Products","Can only do inventory transactions on Stocked Products"
"Canada","Canada"
"Cancel","Cancel"
"Cancel and Save Failed.  Changes are NOT saved.  Please try again.","Cancel and Save Failed.  Changes are NOT saved.  Please try again."
"Cancel Order","Cancel Order"
"Cancel this count sheet.","Cancel this count sheet."
"Cancelled","Cancelled"
"Cancelling and Saving Count Sheet...","Cancelling and Saving Count Sheet..."
"Cancelling Purchase Order...","Cancelling Purchase Order..."
"Cancelling Sales Order...","Cancelling Sales Order..."
"Cancelling the completed work order will reverse all inventory movements.  Continue?","Cancelling the completed work order will reverse all inventory movements.  Continue?"
"Cancelling the work order will delete all the pick/put-away information.  Continue?","Cancelling the work order will delete all the pick/put-away information.  Continue?"
"Cancelling Work Order...","Cancelling Work Order..."
"Cannot complete the Count Sheet when it's invalid","Cannot complete the Count Sheet when it's invalid"
"Cannot connect to the database.  Do you want to change connection?","Cannot connect to the database.  Do you want to change connection?"
"Cannot find user name or password.  Please try again.","Cannot find user name or password.  Please try again."
"Cannot get a snapshot when the Count Sheet is invalid","Cannot get a snapshot when the Count Sheet is invalid"
"Cannot have duplicate line items with the same full location","Cannot have duplicate line items with the same full location"
"Cannot have duplicate line items with the same item","Cannot have duplicate line items with the same item"
"Cannot have duplicate line items with the same item and full location","Cannot have duplicate line items with the same item and full location"
"Cannot have duplicate lines with the same item","Cannot have duplicate lines with the same item"
"Cannot have duplicate product vendors","Cannot have duplicate product vendors"
"Cannot have duplicate vendor items","Cannot have duplicate vendor items"
"Cannot import an empty finished item name","Cannot import an empty finished item name"
"Cannot split order","Cannot split order"
"Cannot yet import this type of Quickbooks file directly.  Use CSV format instead.","Cannot yet import this type of Quickbooks file directly.  Use CSV format instead."
"Can't add/remove shipping information from this order","Can't add/remove shipping information from this order"
"Can't change to simplified workflow when items have been packed","Can't change to simplified workflow when items have been packed"
"Can't change to simplified workflow when items have been picked","Can't change to simplified workflow when items have been picked"
"Can't change to simplified workflow when items have been received","Can't change to simplified workflow when items have been received"
"Can't change to simplified workflow when items have been restocked","Can't change to simplified workflow when items have been restocked"
"Can't change to simplified workflow when items have been returned","Can't change to simplified workflow when items have been returned"
"Can't change to simplified workflow when items have been unstocked","Can't change to simplified workflow when items have been unstocked"
"Can't change to simplified workflow when shipping information has been entered","Can't change to simplified workflow when shipping information has been entered"
"Can't change workflow setting for this order","Can't change workflow setting for this order"
"Can't remove shipping information when a requested ship date has been set","Can't remove shipping information when a requested ship date has been set"
"Can't remove shipping information when a vendor order number has been set","Can't remove shipping information when a vendor order number has been set"
"Can't remove shipping information when packing or shipping info has been specified","Can't remove shipping information when packing or shipping info has been specified"
"Can't remove shipping information when shipping and billing addresses are different","Can't remove shipping information when shipping and billing addresses are different"
"Can't remove shipping information when there is a freight charge","Can't remove shipping information when there is a freight charge"
"Can't switch to simple workflow for an order that has return or restock information.","Can't switch to simple workflow for an order that has return or restock information."
"Can't switch to simple workflow for an order that's not fully shipped and has partial pick, pack, or ship information.","Can't switch to simple workflow for an order that's not fully shipped and has partial pick, pack, or ship information."
"Card Number","Card Number"
"Card Security Code","Card Security Code"
"Card Type","Card Type"
"Carrier","Carrier"
"Carrier (shipping) companies and shipping methods.","Carrier (shipping) companies and shipping methods."
"Carriers","Carriers"
"Cash In From Sales","Cash In From Sales"
"Cash Out for Purchases","Cash Out for Purchases"
"Categories are out of date","Categories are out of date"
"Category","Category"
"Category and Product","Category and Product"
"Category Name","Category Name"
"Category with the same name already exists.","Category with the same name already exists."
"Category, Product","Category, Product"
"Change &Connection","Change &Connection"
"Change back to single-user mode","Change back to single-user mode"
"Change Connection","Change Connection"
"Change Database Session","Change Database Session"
"Change how much you have in stock.","Change how much you have in stock."
"Change Settings","Change Settings"
"Change the orientation of the report.  Landscape will show more columns, but Portrait shows more rows.","Change the orientation of the report.  Landscape will show more columns, but Portrait shows more rows."
